epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,system_crisis_region,system_normal_region,total_loss
13400,6.089209136916907e-10,1.1754332263080869e-07,6.920012651789875e-08,2.2737367544323206e-13,0.0003128273237962276,0.00030305725522339344,0.0006346198497340083
13500,2.213346306234598e-08,1.5400033248624823e-08,6.769136717821311e-08,6.963318810448982e-13,0.00031399790896102786,0.0003245183906983584,0.0006490388186648488
13600,2.667235321496264e-10,9.994641914090607e-08,6.585079148635486e-08,6.963318810448982e-13,0.0003010390792042017,0.00030134012922644615,0.0006189856794662774
13700,1.6331256347257295e-09,1.1221032991670654e-07,6.404059860187772e-08,6.963318810448982e-13,0.0002988681080751121,0.0002962257422041148,0.0006128823151811957
13800,2.7853275241795927e-12,7.484892705633683e-08,6.229869597973448e-08,5.115907697472721e-13,0.0003004555474035442,0.00029490323504433036,0.0006090739043429494
13900,2.4711113155717612e-09,1.0684522067094804e-07,6.057595669517468e-08,6.963318810448982e-13,0.0002969804045278579,0.0002878661034628749,0.0006018357817083597
14000,2.185925609410333e-07,9.844461601460353e-08,5.959179816272808e-08,6.004086117172847e-13,0.0003583869547583163,0.00040504842763766646,0.0008010983583517373
14100,3.6384903978614602e-09,1.0237295100523625e-07,5.7202566239311636e-08,6.963318810448982e-13,0.00029536098008975387,0.0002794653701130301,0.0005911478074267507
14200,6.0040861171728466e-09,1.0895975322000595e-07,5.551849113771823e-08,6.963318810448982e-13,0.00029386303503997624,0.0002748698170762509,0.0005857811775058508
14300,1.3206090443418361e-08,1.3332579840152903e-07,5.385501111732083e-08,1.1510792319313623e-12,0.00029224230092950165,0.00027014914667233825,0.0005824302788823843
14400,5.480288223225216e-09,9.393433231252857e-08,5.229720656529935e-08,2.2737367544323206e-13,0.0002934306103270501,0.00026718361186794937,0.0005757854087278247
14500,1.525245352240745e-08,1.2602873766809353e-07,5.054385709968301e-08,2.0463630789890885e-12,0.00029085768619552255,0.0002619786246214062,0.0005720190238207579
14600,2.041261382146331e-09,6.453377920934145e-08,4.932749320119001e-08,3.552713678800501e-13,0.0002854626509360969,0.0002663780760485679,0.000563431007321924
14700,7.63533591907617e-09,8.655865713080857e-08,4.760483918175851e-08,3.552713678800501e-13,0.00028315949020907283,0.0002604361216071993,0.0005577754927799106
14800,8.360089509551472e-09,8.308694532388472e-08,4.6095586014871515e-08,1.2789769243681803e-13,0.00028289464535191655,0.00025637910584919155,0.0005530280177481472
14900,2.4873671122804808e-08,1.2619807421287987e-07,4.425342225999884e-08,2.1614710021822248e-11,0.0002807634591590613,0.00025131506845355034,0.0005516131641343236
15000,9.813462042984611e-09,7.708310079124203e-08,4.3152290629677736e-08,2.2737367544323206e-13,0.0002830004086717963,0.00024836717057041824,0.0005443724803626537
15100,8.05636233280893e-08,2.38767938753881e-07,4.053754665278575e-08,1.68839164871315e-10,0.0002792154555208981,0.00024915646645240486,0.0005643757176585495
15200,1.0098929692503589e-08,6.722622458710248e-08,4.03823712247231e-08,3.197442310920451e-12,0.00028367643244564533,0.0002407244173809886,0.0005361719522625208
15300,1.2717521258309716e-08,6.94072355145181e-08,3.8806550861636424e-08,1.4210854715202004e-14,0.00028329482302069664,0.00023668902576901019,0.0005320769851095974
15400,2.057451098380625e-07,4.385188958622166e-07,3.233416379089249e-08,3.493914846330881e-08,0.0003063609474338591,0.000264828180661425,0.0006423428421840072
15500,1.4901161193847656e-08,6.53235474601388e-08,3.587971519891653e-08,6.963318810448982e-13,0.00028394011314958334,0.0002291886485181749,0.0005247392691671848
15600,1.578706587679335e-08,6.27892973170674e-08,3.461148523342672e-08,1.2789769243681803e-13,0.00027567113284021616,0.0002308900438947603,0.00051787996198982
15700,2.4201440851356892e-08,7.675248525629286e-08,3.7544122477584096e-08,2.8614422831196862e-08,0.0002777322370093316,0.0002268028911203146,0.0005212463438510895
15800,1.697698337466136e-08,5.672978886650526e-08,3.189501995848332e-08,3.552713678800501e-13,0.00027696893084794283,0.00022393041581381112,0.0005114595405757427
15900,2.9394163902907167e-07,3.1699767077952856e-07,1.0514811776829447e-07,4.024252120871097e-06,0.0007798360893502831,0.00041958680958487093,0.0016734568635001779
16000,1.6667755176058563e-08,4.743482406865951e-08,2.9218208297265846e-08,1.2028067430946976e-10,0.0002787329431157559,0.000217385619180277,0.0005054626381024718
